LocationName,Latitude,Longitude,Context,Sentiment,Confidence
Creston,,,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Salt Lake City,40.7605601,-111.8881397,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Nevada,38.8026097,-116.419389,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Reno,39.529919,-119.8142691,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
the Sierra Nevada,38.3708882,-119.5268829,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Frisco,33.1496718,-96.835567,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Truckee,39.327962,-120.1832533,"Cheyenne again, in the afternoon this time, and then west over the range; crossing the Divide at midnight at Creston, arriving at Salt Lake City at dawn—a city of sprinklers, the least likely place for Dean to have been born; then out to Nevada in the hot sun, Reno by nightfall, its twinkling Chinese streets; then up the Sierra Nevada, pines, stars, mountain lodges signifying Frisco romances—a little girl in the back seat, crying to her mother, “Mama when do we get home to Truckee?”",neutral,96.4%
Truckee,39.327962,-120.1832533,"And Truckee itself, homey Truckee, and then down the hill to the flats of Sacramento.",neutral,100.0%
Sacramento,38.5781342,-121.4944209,"And Truckee itself, homey Truckee, and then down the hill to the flats of Sacramento.",neutral,100.0%
California,36.778261,-119.4179324,"I suddenly realized I was in California. Warm, palmy air—air you can kiss—and palms.",neutral,85.3%
Sacramento River,39.66249184913293,-122.0248384516268,"Along the storied Sacramento River on a superhighway; into the hills again; up, down; and suddenly the vast expanse of a bay (it was just before dawn) with the sleepy lights of Frisco festooned across.",neutral,100.0%
Frisco,33.1496718,-96.835567,"Along the storied Sacramento River on a superhighway; into the hills again; up, down; and suddenly the vast expanse of a bay (it was just before dawn) with the sleepy lights of Frisco festooned across.",neutral,100.0%
Denver,39.7392358,-104.990251,"Over the Oakland Bay Bridge I slept soundly for the first time since Denver; so that I was rudely jolted in the bus station at Market and Fourth into the memory of the fact that I was three thousand two hundred miles from my aunt’s house in Paterson, New Jersey.",neutral,93.0%
Paterson,40.9190605,-74.17298199999999,"Over the Oakland Bay Bridge I slept soundly for the first time since Denver; so that I was rudely jolted in the bus station at Market and Fourth into the memory of the fact that I was three thousand two hundred miles from my aunt’s house in Paterson, New Jersey.",neutral,93.0%
New Jersey,40.0583238,-74.4056612,"Over the Oakland Bay Bridge I slept soundly for the first time since Denver; so that I was rudely jolted in the bus station at Market and Fourth into the memory of the fact that I was three thousand two hundred miles from my aunt’s house in Paterson, New Jersey.",neutral,93.0%
Frisco,33.1496718,-96.835567,"I wandered out like a haggard ghost, and there she was, Frisco—long, bleak streets with trolley wires all shrouded in fog and whiteness.",neutral,79.8%
Mill City,44.7540106,-122.4781385,"Mill City, where Remi lived, with a collection of shacks in a valley, housing-project shacks built for Navy Yard workers during the war; it was in a canyon, and a deep one, treed profusedly on all slopes.",neutral,89.1%
America,38.7945952,-106.5348379,"It was, so they say, the only community in America where whites and Negroes lived together voluntarily; and that was so, and so wild and joyous a place I’ve never seen since.",neutral,87.3%
San Fran,37.7749295,-122.4194155,The reason I’m going into everything that happened in San Fran is because it ties up with everything else all the way down the line.,neutral,100.0%
Marseille,,,"Remi was a tall, dark, handsome Frenchman (he looked like a kind of Marseille black-marketeer of twenty); because he was French he had to talk in jazz American; his English was perfect, his French was perfect.",neutral,69.6%
Mill City,44.7540106,-122.4781385,"It’s not that he ever blamed me for taking off with his girl; it was only a point that always tied us together; that guy was loyal to me and had real affection for me, and God knows why.
‘When I found him in Mill City that morning he had fallen on the beat and evil days that come to young guys in their middle twenties.",neutral,75.7%
Hollywood,34.0907315,-118.3266146,"But on Saturday night, smiling graciously at each other, they took off like a pair of successful Hollywood characters and went on the town.",neutral,52.9%
Paradise,,,"“Aaaaah Paradise, he comes in through the window, he follows instructions to a T. Where have you been, you’re two weeks late!”",neutral,81.7%
Mill City,44.7540106,-122.4781385,"He slapped me on the back, he punched Lee Ann in the ribs, he leaned on the wall and laughed and cried, he pounded the table so you could hear it everywhere in Mill City, and that great long “Aaaaah” resounded around the canyon.",neutral,80.9%
Paradise,,,“Paradise!” he screamed. “The one and only indispensable Paradise.,neutral,50.8%
Paradise,,,“The one and only indispensable Paradise. ”,neutral,54.3%
Sausalito,37.8590937,-122.4852507,"I had just come through the little fishing village of Sausalito, and the first thing I said was, “There must be a lot of Italians in Sausalito.”",neutral,100.0%
Sausalito,37.8590937,-122.4852507,“There must be a lot of Italians in Sausalito!” he shouted at the top of his lungs.,neutral,87.8%
Sausalito,37.8590937,-122.4852507,There must be a lot of Italians in Sausalito? Aaaah-haaa!,neutral,100.0%
Mill City,44.7540106,-122.4781385,"This Mr. Snow began his laugh from the supper table when his old wife said something casual; he got up, apparently choking, leaned on the wall, looked up to heaven, and started; he staggered through the door, leaning on neighbors’ walls; he was drunk with it, he reeled throughout Mill City in the shadows, raising his whooping triumphant call to the demon god that must have prodded him to do it.",neutral,76.6%
Frisco,33.1496718,-96.835567,"And though Remi was having worklife problems and bad lovelife with a sharp-tongued woman, he at least had learned to laugh almost better than anyone in the world, and I saw all the fun we were going to have in Frisco.",neutral,68.4%
Oregon,43.8041334,-120.5542012,She came from a small town in Oregon. She rued the day she ever took up with Remi.,neutral,100.0%
Frisco,33.1496718,-96.835567,She had a job in Frisco; she had to take the Greyhound bus at the crossroads and go in every day.,neutral,100.0%
Hollywood,34.0907315,-118.3266146,I was to stay in the shack and write a shining original story for a Hollywood studio.,neutral,85.0%
Mill City,44.7540106,-122.4781385,"So the first week I stayed in the shack in Mill City, writing furiously at some gloomy tale about New York that I thought would satisfy a Hollywood director, and the trouble with it was that it was too sad.",neutral,70.6%
New York,40.7127753,-74.0059728,"So the first week I stayed in the shack in Mill City, writing furiously at some gloomy tale about New York that I thought would satisfy a Hollywood director, and the trouble with it was that it was too sad.",neutral,70.6%
Hollywood,34.0907315,-118.3266146,"So the first week I stayed in the shack in Mill City, writing furiously at some gloomy tale about New York that I thought would satisfy a Hollywood director, and the trouble with it was that it was too sad.",neutral,70.6%
Hollywood,34.0907315,-118.3266146,"Remi could barely read it, and so he just carried it down to Hollywood a few weeks later.",neutral,100.0%
Coast,,,"“On my way to the Coast last summer I jumped off the train at North Platte, Nebraska, to stretch my legs, and what did I see in the window but this unique little gun, which I promptly bought and barely made the train.",neutral,93.6%
North Platte,41.1402759,-100.7601454,"“On my way to the Coast last summer I jumped off the train at North Platte, Nebraska, to stretch my legs, and what did I see in the window but this unique little gun, which I promptly bought and barely made the train.",neutral,93.6%
Nebraska,41.4925374,-99.9018131,"“On my way to the Coast last summer I jumped off the train at North Platte, Nebraska, to stretch my legs, and what did I see in the window but this unique little gun, which I promptly bought and barely made the train.",neutral,93.6%
North Platte,41.1402759,-100.7601454,"”
And I tried to tell him what North Platte meant to me, buying the whisky with the boys, and he slapped me on the back and said I was the funniest man in the world.",neutral,89.9%
Frisco,33.1496718,-96.835567,"With the flashlight to illuminate my way, I climbed the steep walls of the south canyon, got up on the highway streaming with cars Frisco-bound in the night, scrambled down the other side, almost falling, and came to the bottom of a ravine where a little farmhouse stood near a creek and where every blessed night the same dog barked at me.",neutral,91.5%
California,36.778261,-119.4179324,"Then it was a fast walk along a silvery, dusty road beneath inky trees of California—a road like in The Mark of Zorro and a road like all the roads you see in Western B  movies.",neutral,85.7%
Okinawa,,,Most of them were bound for Okinawa. Most of them were running away from something—usually the law.,neutral,100.0%
Alabama,32.3182314,-86.902298,"There were tough groups from Alabama, shifty men from New York, all kinds from all over.",neutral,90.9%
New York,40.7127753,-74.0059728,"There were tough groups from Alabama, shifty men from New York, all kinds from all over.",neutral,90.9%
Okinawa,,,"And, knowing full well how horrible it would be to work a full year in Okinawa, they drank.",neutral,72.8%
Oregon,43.8041334,-120.5542012,"I sat in the office with my feet on the desk, reading Blue Book adventures about Oregon and the north country, when suddenly I realized there was a great hum of activity in the usually quiet night.",neutral,83.1%
Texas,31.9685988,-99.9018131,"“You should have been here about two months ago when me and Sledge” (that was another cop, a youngster who wanted to be a Texas Ranger and had to be satisfied with his present lot) “arrested a drunk in Barrack G.",neutral,87.4%
Texas,31.9685988,-99.9018131,"He rigged himself out like a Texas Ranger of old. He wore a revolver down low, with ammunition  belt, and carried a small quirt of some kind, and pieces of leather hanging everywhere, like a walking torture chamber: shiny shoes, low-hanging jacket, cocky hat, everything but boots.",neutral,73.9%
America,38.7945952,-106.5348379,This is the story of America. Everybody’s doing what they think they’re supposed to do.,neutral,100.0%
Alabama,32.3182314,-86.902298,"They were all brothers, all from Alabama. We strolled back to the station, Sledge in front and me in back.",neutral,100.0%
Okinawa,,,We might get fired for this and never get to Okinawa.” “I’ll talk to him.”,neutral,79.5%
France,,,"Somewhere in his past, in his lonely schooldays in France, they’d taken everything from him; his stepparents just stuck him in schools and left him there; he was browbeaten and thrown out of one school after another; he walked the French roads at night devising curses out of his innocent stock of words.",neutral,87.9%
San Francisco,37.7749295,-122.4194155,"I’d spent only one evening in San Francisco in all that time. My life was wrapped in the shack, in Remi’s battles with Lee Ann, and in the middle of the night at the barracks.",neutral,92.9%
America,38.7945952,-106.5348379,I suddenly began to realize that everybody in America is a natural-born thief. I was getting the bug myself.,neutral,81.5%
California,36.778261,-119.4179324,His tremendous laugh roared over the California woods and over America. “The time has come for you and me to go and see the Banana King.,neutral,87.4%
America,38.7945952,-106.5348379,His tremendous laugh roared over the California woods and over America. “The time has come for you and me to go and see the Banana King.,neutral,87.4%
San Francisco,37.7749295,-122.4194155,We rode into San Francisco and strolled through the streets. Remi’s huge laugh resounded everywhere we went.,neutral,71.8%
the San Francisco,37.7749295,-122.4194155,This was the ghost of the San Francisco of Jack London. I dreamed at the sunny mess-board.,neutral,73.3%
Frisco,33.1496718,-96.835567,Meanwhile I began going to Frisco more often; I tried everything in the books to make a girl.,neutral,100.0%
Minnesota,46.729553,-94.6858998,She was a blonde from Minnesota. There were plenty of queers.,neutral,100.0%
San Fran,37.7749295,-122.4194155,"Several times I went to San Fran with my gun and when a queer approached me in a bar john I took out the gun and said, “Eh?",neutral,82.1%
San Francisco,37.7749295,-122.4194155,It was just the loneliness of San Francisco and the fact that I had a gun.,neutral,69.8%
Nevada,38.8026097,-116.419389,Then we could flee to Nevada together. The time was coming for me to leave Frisco or I’d go crazy.,neutral,83.3%
Frisco,33.1496718,-96.835567,The time was coming for me to leave Frisco or I’d go crazy. ,neutral,75.3%
Old Bull’s,,,"I wrote long letters to Dean and Carlo, who were now at Old Bull’s shack in the Texas bayou.",neutral,100.0%
Texas,31.9685988,-99.9018131,"I wrote long letters to Dean and Carlo, who were now at Old Bull’s shack in the Texas bayou.",neutral,100.0%
San Fran,37.7749295,-122.4194155,They said they were ready to come join me in San Fran as soon as this-and-that was ready.,neutral,67.6%
Hollywood,34.0907315,-118.3266146,"The September rains came, and with them harangues.  Remi had flown down to Hollywood with her, taking my sad silly movie original, and nothing had happened.",neutral,78.0%
Malibu Beach,34.0380585,-118.6923438,The famous director was drunk and paid no attention to them; they hung around his Malibu Beach cottage; they started fighting in front of other guests; and they flew back.,neutral,79.2%
Richmond,37.5407246,-77.4360481,"Remi saved all his money, about a hundred dollars, spruced me up in some of his clothes, put Lee Ann on his arm, and off we went to Golden Gate racetrack near Richmond across the bay.",neutral,92.4%
Richmond,37.5407246,-77.4360481,"To show you what a heart that guy had, he put half of our stolen groceries in a tremendous brown ,paper bag and took them to a poor widow he knew in Richmond in a housing project much like our own, wash flapping in the California sun.",neutral,82.0%
California,36.778261,-119.4179324,"To show you what a heart that guy had, he put half of our stolen groceries in a tremendous brown ,paper bag and took them to a poor widow he knew in Richmond in a housing project much like our own, wash flapping in the California sun.",neutral,82.0%
San Francisco,37.7749295,-122.4194155,We had to hitchhike back to San Francisco. I was on the road again.,neutral,100.0%
Frisco,33.1496718,-96.835567,Whoo!” howled Remi in the evening streets of Frisco. “Paradise rides with the man who runs the racetrack and swears he’s switching to bookies.,neutral,93.9%
Sausalito,37.8590937,-122.4852507,There must be a lot of Italians in Sausalito. Aaah-how!”,neutral,100.0%
China,,,"Where was my slow boat to China? “And another thing, you dirty man,” yelled Lee Ann.",neutral,83.8%
Hollywood,34.0907315,-118.3266146,"“I thought something would come of us together, something fine and lasting, I tried, I flew to Hollywood, I got Sal a job, I bought you beautiful dresses, I tried to introduce you to the finest people in San Francisco.",neutral,84.9%
San Francisco,37.7749295,-122.4194155,"“I thought something would come of us together, something fine and lasting, I tried, I flew to Hollywood, I got Sal a job, I bought you beautiful dresses, I tried to introduce you to the finest people in San Francisco.",neutral,84.9%
San Francisco,37.7749295,-122.4194155,My stepfather is coming to San Francisco next Saturday night. All I ask is that you come with me and try to look as though everything is the way I’ve written him.,neutral,100.0%
Vienna,,,"Remi’s stepfather was a distinguished doctor who had practiced in Vienna, Paris, and London. I said, “You mean to tell me you’re going to spend a hundred dollars on your stepfather?",neutral,100.0%
Paris,,,"Remi’s stepfather was a distinguished doctor who had practiced in Vienna, Paris, and London. I said, “You mean to tell me you’re going to spend a hundred dollars on your stepfather?",neutral,100.0%
London,,,"Remi’s stepfather was a distinguished doctor who had practiced in Vienna, Paris, and London. I said, “You mean to tell me you’re going to spend a hundred dollars on your stepfather?",neutral,100.0%
North Beach,,,"We all went to a swank restaurant to eat—Alfred‘s, in North Beach, where poor Remi spent a good fifty dollars for the five of us, drinks and all.",neutral,80.0%
Denver,39.7392358,-104.990251,He had just arrived from Denver and got a job on a San Francisco paper.,neutral,100.0%
San Francisco,37.7749295,-122.4194155,He had just arrived from Denver and got a job on a San Francisco paper.,neutral,100.0%
Denver,39.7392358,-104.990251,I remembered the night he wouldn’t let us have our party in Denver; but I forgave him.,neutral,72.4%
San Francisco,37.7749295,-122.4194155,My stay in San Francisco was coming to an end. Remi would never talk to me again.,neutral,100.0%
Paterson,40.9190605,-74.17298199999999,"How disastrous all this was compared to what I’d written him from Paterson, planning my red line Route 6 across America.",neutral,83.0%
America,38.7945952,-106.5348379,"How disastrous all this was compared to what I’d written him from Paterson, planning my red line Route 6 across America.",neutral,83.0%
America,38.7945952,-106.5348379,Here I was at the end of America—no more land—and now there was nowhere to go but back.,neutral,100.0%
Hollywood,34.0907315,-118.3266146,I determined at least to  make my trip a circular one: I decided then and there to go to Hollywood and back through Texas to see my bayou gang; then the rest be damned.,neutral,85.3%
Texas,31.9685988,-99.9018131,I determined at least to  make my trip a circular one: I decided then and there to go to Hollywood and back through Texas to see my bayou gang; then the rest be damned.,neutral,85.3%
the Pacific Ocean,,,That was the big side of the canyon that led mysteriously to the Pacific Ocean.,neutral,100.0%
California,36.778261,-119.4179324,"All those lovely California cottonwoods and eucalypti brooded on all sides. Near the peak there were no more trees, just rocks and grass.",neutral,77.8%
Pacific,,,"There was the Pacific, a few more foothills away, blue and vast and with a great wall of white advancing from the legendary potato patch where Frisco fogs are born.",neutral,86.8%
Frisco,33.1496718,-96.835567,"There was the Pacific, a few more foothills away, blue and vast and with a great wall of white advancing from the legendary potato patch where Frisco fogs are born.",neutral,86.8%
Frisco,33.1496718,-96.835567,"That was Frisco; and beautiful women standing in white doorways, waiting for their men; and Coit Tower, and the Embarcadero, and Market Street, and the eleven teeming hills.",neutral,87.4%
New York,40.7127753,-74.0059728,"And before me was the great raw bulge and bulk of my American continent; somewhere far across, gloomy, crazy New York was throwing up its cloud of dust and brown steam.",neutral,77.6%
East,,,There is something brown and holy about the East; and California is white like washlines and emptyheaded—at least that’s what I thought then.,neutral,89.4%
California,36.778261,-119.4179324,There is something brown and holy about the East; and California is white like washlines and emptyheaded—at least that’s what I thought then.,neutral,89.4%
Mill City,44.7540106,-122.4781385,"In the morning Remi and Lee Ann were asleep as quietly packed and slipped out the window the same way I’d come in, and left Mill City with my canvas bag.",neutral,100.0%
Oakland,37.8043514,-122.2711639,"In Oakland I had a beer among the bums of a saloon with a wagon wheel in front of it, and I was on the road again.",neutral,100.0%
Oakland,37.8043514,-122.2711639,"I walked clear across Oakland to get on the Fresno road. Two rides took me to Bakersfield, four hundred miles south.",neutral,88.0%
Fresno,36.7377981,-119.7871247,"I walked clear across Oakland to get on the Fresno road. Two rides took me to Bakersfield, four hundred miles south.",neutral,88.0%
Bakersfield,35.3735112,-119.0204707,"Two rides took me to Bakersfield, four hundred miles south. The first was the mad one, with a burly blond kid in a souped-up rod.",neutral,87.3%
Tracy,37.7395818,-121.4260018,He made Tracy in no time. Tracy is a railroad town; brakemen eat surly meals in diners by the tracks.,neutral,89.1%
Tracy,37.7395818,-121.4260018,Tracy is a railroad town; brakemen eat surly meals in diners by the tracks. Trains howl away across the valley.,neutral,100.0%
Manteca,37.7974273,-121.2160526,"All the magic names of the valley unrolled—Manteca, Madera, all the rest. Soon it got dusk, a grapy dusk, a purple dusk over tangerine groves and long melon fields; the sun the color of pressed grapes, slashed with burgundy red, the fields the color of love and Spanish mysteries.",neutral,88.1%
Madera,,,"All the magic names of the valley unrolled—Manteca, Madera, all the rest. Soon it got dusk, a grapy dusk, a purple dusk over tangerine groves and long melon fields; the sun the color of pressed grapes, slashed with burgundy red, the fields the color of love and Spanish mysteries.",neutral,88.1%
Fresno,36.7377981,-119.7871247,The madman was a brakeman with the Southern Pacific and he lived in Fresno; his father was also a brakeman.,neutral,100.0%
Oakland,37.8043514,-122.2711639,"He lost his toe in the Oakland yards, switching, I didn’t quite understand how. He drove me into buzzing Fresno and let me off by the south side of town.",neutral,92.4%
Fresno,36.7377981,-119.7871247,He drove me into buzzing Fresno and let me off by the south side of town.,neutral,100.0%
Saroyan,,,"I went for a quick Coke in a little grocery by the tracks, and here came a melancholy Armenian youth along the red boxcars, and just at that moment a locomotive howled, and I said to myself, Yes, yes, Saroyan’s town.",neutral,79.4%
Lubbock,33.5778239,-101.8552934,"He was from Lubbock, Texas, and was in the trailer business. “You want to buy a trailer?” he asked me.",neutral,93.3%
Texas,31.9685988,-99.9018131,"He was from Lubbock, Texas, and was in the trailer business. “You want to buy a trailer?” he asked me.",neutral,93.3%
Lubbock,33.5778239,-101.8552934,"He told stories about his father in Lubbock. “One night my old man left the day’s receipts settin on top of the safe, plumb forgot.",neutral,83.0%
Bakersfield,35.3735112,-119.0204707,"He let me off south of Bakersfield, and then my adventure began. It grew cold.",neutral,85.9%
Oakland,37.8043514,-122.2711639,I put on the flimsy Army raincoat I’d bought in Oakland for three dollars and shuddered in the road.,neutral,100.0%
LA,34.0549076,-118.242643,"The cars rushed by, LA-bound. I gestured frantically.",neutral,71.4%
Stuart,27.197548,-80.2528257,"It was just like Stuart, Iowa, again. There was nothing to do but spend a little over two dollars for a bus the remaining miles to Los Angeles.",neutral,93.5%
Iowa,41.8780025,-93.097702,"It was just like Stuart, Iowa, again. There was nothing to do but spend a little over two dollars for a bus the remaining miles to Los Angeles.",neutral,93.5%
Los Angeles,34.0549076,-118.242643,There was nothing to do but spend a little over two dollars for a bus the remaining miles to Los Angeles.,neutral,100.0%
Bakersfield,35.3735112,-119.0204707,"I walked back along the highway to Bakersfield and into the station, and sat down on a bench.",neutral,100.0%
LA,34.0549076,-118.242643,I had bought my ticket and was waiting for the LA bus when all of a sudden I saw the cutest little Mexican girl in slacks come cutting across my sight.,neutral,83.1%
LA,34.0549076,-118.242643,"The announcer called the LA bus. I picked up  my bag and got on, and who should be sitting there alone but the Mexican girl.",neutral,93.9%
LA,34.0549076,-118.242643,"“Where going?”
“LA.” I loved the way she said “LA”; I love the way everybody says “LA” on the Coast; it’s their one and only golden town when all is said and done.",neutral,78.2%
LA,34.0549076,-118.242643,I loved the way she said “LA”; I love the way everybody says “LA” on the Coast; it’s their one and only golden town when all is said and done.,neutral,76.2%
Coast,,,I loved the way she said “LA”; I love the way everybody says “LA” on the Coast; it’s their one and only golden town when all is said and done.,neutral,76.2%
Sabinal,29.3174576,-99.4664354,"The husband beat her, so she left him, back at Sabinal, south of Fresno, and was going to LA to live with her sister awhile.",neutral,100.0%
Fresno,36.7377981,-119.7871247,"The husband beat her, so she left him, back at Sabinal, south of Fresno, and was going to LA to live with her sister awhile.",neutral,100.0%
LA,34.0549076,-118.242643,"The husband beat her, so she left him, back at Sabinal, south of Fresno, and was going to LA to live with her sister awhile.",neutral,100.0%
New York,40.7127753,-74.0059728,Pretty soon she was saying she wished she could go to New York too. “Maybe we could!”,neutral,82.1%
Grapevine Pass,34.8013678,-118.8753743,The bus groaned up Grapevine Pass and then we were coming down into the great sprawls of light.,neutral,80.6%
LA,34.0549076,-118.242643,"Without coming to any particular agreement we began holding hands, and in the same way it was mutely and beautifully and purely decided that when I got my hotel room in LA she would be beside me.",neutral,83.1%
Hollywood,34.0907315,-118.3266146,"The bus arrived in Hollywood. In the gray, dirty dawn, like the dawn when Joel McCrea met Veronica Lake in a diner, in the picture Sullivan’s Travels, she slept in my lap.",neutral,84.3%
America,38.7945952,-106.5348379,"I looked greedily out the window: stucco houses and palms and drive-ins, the whole mad thing, the ragged promised land, the fantastic end of America.",neutral,62.1%
Kansas City,39.0997265,-94.5785667,"We got off the bus at Main Street, which was no different from where you get off a bus in Kansas City or Chicago or Boston—red brick, dirty, characters drifting by, trolleys grating in the hopeless dawn, the whorey smell of a big city.",neutral,80.0%
Chicago,41.8781136,-87.6297982,"We got off the bus at Main Street, which was no different from where you get off a bus in Kansas City or Chicago or Boston—red brick, dirty, characters drifting by, trolleys grating in the hopeless dawn, the whorey smell of a big city.",neutral,80.0%
Boston,42.3555076,-71.0565364,"We got off the bus at Main Street, which was no different from where you get off a bus in Kansas City or Chicago or Boston—red brick, dirty, characters drifting by, trolleys grating in the hopeless dawn, the whorey smell of a big city.",neutral,80.0%
LA,34.0549076,-118.242643,"I began getting the foolish paranoiac visions that Teresa, or Terry—her name—was a common little hustler who worked the buses for a guy’s bucks by making appointments like ours in LA where she brought the sucker first to a breakfast place, where her pimp waited, and then to a certain hotel to which he had access with his gun or his whatever.",neutral,75.0%
New York,40.7127753,-74.0059728,If you came to New York she’d show you where to get work. ”,neutral,100.0%
LA,34.0549076,-118.242643,"Then, two tired angels of some kind, hung-up forlornly in an LA shelf, having found the closest and most delicious thing in life together, we fell asleep and slept till late afternoon.",neutral,73.8%
New York,40.7127753,-74.0059728,When we woke up we decided to hitchhike to New York together; she was going to be my girl in town.,neutral,100.0%
LA,34.0549076,-118.242643,"And, like a damn fool, I considered the problem for two days, as we read the want ads of wild LA papers I’d never seen before in my life, in cafeterias and bars, until my twenty dwindled to just over ten.",neutral,73.8%
LA,34.0549076,-118.242643,"In the middle of the night I got up because I couldn’t sleep, pulled the cover over baby’s bare brown shoulder, and examined the LA night.",neutral,100.0%
LA,34.0549076,-118.242643,LA is the loneliest and most brutal of American cities; New York gets god-awful cold in the winter but there’s a feeling of wacky comradeship somewhere in some streets.,neutral,79.0%
New York,40.7127753,-74.0059728,LA is the loneliest and most brutal of American cities; New York gets god-awful cold in the winter but there’s a feeling of wacky comradeship somewhere in some streets.,neutral,79.0%
LA,34.0549076,-118.242643,LA is a jungle. ,neutral,100.0%
Southern California,34.9592083,-116.419389,The beatest characters in the country swarmed on the sidewalks—all of it under those soft Southern California stars that are lost in the brown halo of the huge desert encampment LA really is.,neutral,87.1%
LA,34.0549076,-118.242643,The beatest characters in the country swarmed on the sidewalks—all of it under those soft Southern California stars that are lost in the brown halo of the huge desert encampment LA really is.,neutral,87.1%
New York,40.7127753,-74.0059728,"Wild Negroes with bop caps and goatees came laughing by; then longhaired brokendown hipsters straight off Route 66 from New York; then old desert rats, carrying packs and heading for a park bench at the Plaza; then Methodist ministers with raveled sleeves, and an occasional Nature Boy saint in beard and sandals.",neutral,90.6%
Hollywood,34.0907315,-118.3266146,We went to Hollywood to try to work in the drugstore at Sunset and Vine.,neutral,100.0%
Hollywood,34.0907315,-118.3266146,"Handsome queer boys who had come to Hollywood to be cowboys walked around, wetting their eyebrows with hincty fingertip.",neutral,84.9%
New York,40.7127753,-74.0059728,"Hollywood Sams stood in front of swank restaurants, arguing exactly the same way Broadway Sams argue at Jacob’s Beach, New York, only here they wore light-weight suits and their talk was cornier.",neutral,84.7%
LA,34.0549076,-118.242643,All the cops in LA looked like handsome gigolos; obviously they’d come to LA to make the movies.,neutral,73.7%
New York,40.7127753,-74.0059728,"“Man, I’m going to get my clothes from Sis and we’ll hitchhike to New York,” said Terry.",neutral,100.0%
LA,34.0549076,-118.242643,"Terry came out and led me by the hand to Central Avenue, which is the colored main drag of LA.",neutral,77.9%
New York,40.7127753,-74.0059728,We decided to hitch to New York with our remaining money. She picked up five dollars from her sister that night.,neutral,100.0%
Arcadia,,,"So before the daily room rent was due again we packed up and took off on a red car to Arcadia, California, where Santa Anita racetrack is located under snow-capped mountains.",neutral,100.0%
California,36.778261,-119.4179324,"So before the daily room rent was due again we packed up and took off on a red car to Arcadia, California, where Santa Anita racetrack is located under snow-capped mountains.",neutral,100.0%
Bakersfield,35.3735112,-119.0204707,"We were going to take a bus to Bakersfield and work picking grapes. After a few weeks of that we were headed for New York in the proper way, by bus.",neutral,100.0%
New York,40.7127753,-74.0059728,"After a few weeks of that we were headed for New York in the proper way, by bus.",neutral,100.0%
Bakersfield,35.3735112,-119.0204707,"It was a wonderful afternoon, riding up to Bakersfield with Terry: we sat back, relaxed, talked, saw the countryside roll by, and didn’t worry about a thing.",neutral,69.2%
Bakersfield,35.3735112,-119.0204707,We arrived in Bakersfield in late afternoon. The plan was to hit every fruit wholesaler in town.,neutral,100.0%
California,36.778261,-119.4179324,The thought of living in a tent and picking grapes in the cool California mornings hit me right.,neutral,87.4%
Mextown,,,"It was night now, and the little Mextown street was one blazing bulb of lights: movie marquees, fruit stands, penny arcades, five-and-tens, and hundreds of rickety trucks and mud-spattered jalopies, parked.",neutral,100.0%
California,36.778261,-119.4179324,"What I needed-what Terry needed, too—was a drink, so we bought a quart of California port for thirty-five cents and went to the railroad yards to drink.",neutral,100.0%
